"","IncidentMonth","IncidentWeekOfMonth","IncidentDayOfWeek","Make","IncidentAddressType","DeclarationDayOfWeek","DeclarationMonth","DeclarationWeekOfMonth","DriverGender","DriverMaritalStatus","DriverAge","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound","PolicyNumber","RepairerDetailID","Deductible","DriverRating","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChangeClaim","NumberOfCars","IncidentYear","BasePolicy"
"436","Dec",4,"Wednesday","Toyota","Urban","Friday","Dec",4,"Female","Married",28,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,14359,15,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"437","Feb",3,"Monday","Mazda","Urban","Monday","Feb",3,"Male","Married",72,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,2202,11,700,4,"more than 30","more than 30","2 to 4","more than 7","over 65","No","No","External","1 to 2","no change","5 to 8",1994,"Liability"
"438","Sep",3,"Thursday","Pontiac","Urban","Friday","Sep",4,"Male","Married",35,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,6455,11,400,3,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1995,"All Perils"
"439","Jan",4,"Tuesday","Honda","Urban","Wednesday","Jan",4,"Male","Single",0,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,162,3,400,1,"more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Liability"
"440","Aug",3,"Wednesday","Pontiac","Urban","Thursday","Aug",3,"Male","Single",30,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,1121,9,400,1,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"441","May",2,"Monday","VW","Urban","Wednesday","May",2,"Male","Married",43,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,2058,14,400,4,"more than 30","more than 30","1","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"442","Oct",1,"Wednesday","Honda","Urban","Monday","Oct",2,"Male","Single",20,"Policy Holder","Sport - Collision","Sport","more than 69000",0,4299,10,400,3,"more than 30","more than 30","none","3 years","21 to 25","No","No","External","none","no change","1 vehicle",1994,"Collision"
"443","Nov",4,"Sunday","Chevrolet","Urban","Monday","Nov",4,"Female","Single",33,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,9401,3,400,1,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1995,"Collision"
"444","Nov",1,"Saturday","Mazda","Urban","Monday","Nov",2,"Male","Married",43,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,2917,1,400,3,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"445","Jul",3,"Sunday","Toyota","Urban","Tuesday","Jul",3,"Female","Single",35,"Policy Holder","Sedan - Collision","Sedan","less than 20000",0,4084,11,400,3,"more than 30","more than 30","2 to 4","4 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"446","May",1,"Thursday","Chevrolet","Urban","Monday","May",2,"Male","Married",29,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,6918,16,400,4,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"447","Nov",2,"Wednesday","Mazda","Urban","Thursday","Nov",2,"Male","Married",30,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,9746,14,400,1,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1995,"Collision"
"448","Apr",3,"Saturday","Honda","Urban","Tuesday","Apr",4,"Male","Married",45,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,14688,13,400,2,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1996,"Collision"
"449","Apr",3,"Tuesday","Chevrolet","Urban","Wednesday","Apr",4,"Male","Single",30,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,14481,2,400,1,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1996,"Collision"
"450","Dec",3,"Thursday","Ford","Urban","Tuesday","Mar",3,"Male","Married",26,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,3712,12,400,3,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"451","Nov",3,"Wednesday","Pontiac","Urban","Wednesday","Nov",3,"Male","Single",34,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,15016,10,400,1,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","1 year","2 vehicles",1996,"Collision"
"452","Aug",3,"Wednesday","Pontiac","Urban","Wednesday","Aug",3,"Male","Married",75,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,14078,3,400,1,"more than 30","more than 30","none","7 years","over 65","No","No","External","3 to 5","no change","1 vehicle",1996,"Liability"
"453","Oct",5,"Saturday","Chevrolet","Urban","Thursday","Nov",1,"Male","Married",52,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,15260,3,400,3,"more than 30","more than 30","1","7 years","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1996,"Liability"
"454","Oct",2,"Saturday","Honda","Urban","Tuesday","Nov",2,"Male","Married",54,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,11175,4,400,1,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"455","Sep",4,"Monday","Saab","Urban","Tuesday","Oct",1,"Male","Married",48,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,5439,4,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"456","Jan",3,"Thursday","Pontiac","Urban","Thursday","Jan",3,"Male","Married",44,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,8751,3,400,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"457","Mar",4,"Sunday","Pontiac","Urban","Wednesday","Apr",2,"Male","Single",61,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,8006,13,400,3,"more than 30","more than 30","more than 4","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"458","Sep",1,"Friday","Chevrolet","Urban","Friday","Sep",1,"Male","Married",30,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,2830,6,400,3,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","3 to 4",1994,"Liability"
"459","Oct",1,"Monday","Ford","Urban","Friday","Oct",2,"Male","Married",62,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,14602,10,700,4,"more than 30","more than 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"460","Sep",1,"Sunday","Toyota","Urban","Tuesday","Sep",1,"Female","Married",41,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,6040,3,400,1,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"461","Jun",1,"Friday","Mazda","Urban","Monday","Jun",2,"Male","Married",33,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,2100,3,400,4,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"462","Jan",3,"Sunday","Toyota","Urban","Friday","Jan",3,"Male","Married",32,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,12075,1,400,1,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"463","Jun",2,"Tuesday","Chevrolet","Urban","Tuesday","Jun",2,"Male","Married",75,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,10582,7,400,3,"more than 30","more than 30","none","more than 7","over 65","No","No","External","none","no change","1 vehicle",1995,"Liability"
"464","Mar",1,"Tuesday","Ford","Urban","Wednesday","Mar",4,"Male","Married",29,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,3959,13,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"465","Jun",2,"Friday","Toyota","Urban","Tuesday","Jun",2,"Female","Married",40,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,7212,10,400,2,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"466","Jun",1,"Saturday","VW","Urban","Tuesday","Jun",2,"Male","Married",34,"Policy Holder","Sedan - All Perils","Sedan","40000 to 59000",0,2785,7,400,1,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"467","Feb",1,"Wednesday","Mazda","Urban","Friday","Feb",2,"Male","Married",38,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,10732,15,400,3,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","1 to 2","4 to 8 years","2 vehicles",1995,"Collision"
"468","Jan",4,"Tuesday","Toyota","Urban","Tuesday","Jan",4,"Male","Single",39,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,5066,6,400,3,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"469","Jul",2,"Monday","Accura","Urban","Tuesday","Jul",2,"Male","Single",51,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,15227,14,400,1,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1996,"All Perils"
"470","Oct",3,"Monday","Pontiac","Urban","Monday","Oct",5,"Male","Married",36,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,8481,13,400,2,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"Collision"
"471","Jul",2,"Monday","Toyota","Urban","Tuesday","Oct",4,"Male","Married",43,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,9593,12,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"472","Dec",2,"Saturday","Mazda","Urban","Thursday","Dec",4,"Male","Married",45,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,6167,8,400,2,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1995,"Liability"
"473","Aug",3,"Wednesday","Honda","Urban","Monday","Sep",3,"Male","Single",41,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,6999,15,400,1,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"Liability"
"474","Mar",1,"Friday","Toyota","Urban","Thursday","Apr",3,"Male","Married",51,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,4238,8,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"475","May",3,"Wednesday","Honda","Urban","Wednesday","May",3,"Male","Married",43,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,3999,11,400,4,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"476","Jun",4,"Thursday","Mazda","Urban","Friday","Jun",4,"Male","Married",34,"Policy Holder","Sport - Collision","Sport","more than 69000",0,10854,7,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Collision"
"477","Sep",4,"Saturday","Honda","Urban","Monday","Sep",4,"Male","Married",30,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,796,12,400,3,"more than 30","more than 30","2 to 4","new","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"478","Dec",3,"Sunday","Chevrolet","Urban","Monday","Jan",1,"Female","Married",54,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,5182,4,400,1,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"479","Jul",3,"Tuesday","Honda","Urban","Wednesday","Jul",4,"Female","Single",31,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,6761,16,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Collision"
"480","Mar",3,"Friday","Honda","Urban","Friday","Apr",4,"Male","Single",0,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,14400,16,400,2,"more than 30","more than 30","none","new","16 to 17","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"481","Dec",3,"Friday","Chevrolet","Urban","Tuesday","Dec",4,"Male","Married",51,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,13415,15,400,2,"more than 30","more than 30","more than 4","more than 7","41 to 50","Yes","No","External","more than 5","no change","1 vehicle",1996,"Collision"
"482","Oct",1,"Tuesday","Chevrolet","Urban","Wednesday","Oct",1,"Male","Married",64,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,1310,4,400,3,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Collision"
"483","Sep",3,"Friday","Toyota","Rural","Monday","Dec",1,"Female","Single",26,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,7732,12,400,2,"more than 30","more than 30","1","5 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1995,"Liability"
"484","Feb",4,"Friday","Mazda","Urban","Tuesday","Mar",1,"Male","Married",26,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,6904,16,400,1,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1995,"Collision"
"485","Apr",3,"Friday","Pontiac","Urban","Monday","Apr",3,"Female","Single",28,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",1,2886,1,400,1,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"486","May",5,"Saturday","Honda","Urban","Wednesday","Jun",1,"Male","Married",34,"Third Party","Sedan - Liability","Sport","more than 69000",0,5031,3,400,3,"more than 30","more than 30","more than 4","5 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"487","Nov",3,"Wednesday","Chevrolet","Urban","Tuesday","Nov",4,"Male","Married",53,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,9210,2,400,1,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1995,"Liability"
"488","Nov",4,"Saturday","Pontiac","Rural","Friday","Dec",1,"Male","Married",67,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,13076,13,400,2,"more than 30","more than 30","1","7 years","over 65","No","No","External","more than 5","no change","1 vehicle",1996,"All Perils"
"489","Jun",2,"Saturday","Pontiac","Urban","Monday","Jun",4,"Male","Married",64,"Policy Holder","Sedan - Liability","Sport","less than 20000",0,8807,9,400,4,"more than 30","more than 30","2 to 4","7 years","51 to 65","No","No","External","1 to 2","no change","1 vehicle",1995,"Liability"
"490","Jul",2,"Thursday","Honda","Urban","Wednesday","Jul",2,"Male","Married",41,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,11592,7,400,3,"more than 30","more than 30","more than 4","6 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1996,"Liability"
"491","Aug",2,"Friday","Mazda","Urban","Monday","Aug",3,"Male","Married",51,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,11148,10,400,1,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1995,"Collision"
"492","Jan",5,"Sunday","Toyota","Urban","Thursday","Feb",4,"Male","Married",49,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,14034,2,400,1,"more than 30","more than 30","more than 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1996,"Liability"
"493","Jul",4,"Saturday","Accura","Urban","Tuesday","Aug",4,"Male","Married",55,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",1,5274,1,400,1,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"494","Feb",2,"Wednesday","Mazda","Rural","Wednesday","Feb",2,"Female","Single",33,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,1144,16,400,1,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"495","Oct",4,"Wednesday","Toyota","Urban","Tuesday","Nov",2,"Male","Married",41,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,8013,13,400,4,"more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1995,"Collision"
"496","Nov",3,"Wednesday","Pontiac","Urban","Monday","Nov",3,"Male","Married",43,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,15063,4,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1996,"Liability"
"497","Apr",2,"Saturday","Pontiac","Urban","Monday","Apr",2,"Female","Married",42,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,11223,10,400,3,"more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"498","Aug",3,"Sunday","Chevrolet","Urban","Tuesday","Aug",3,"Male","Married",36,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,9607,12,400,1,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"499","Jan",4,"Sunday","Mazda","Urban","Tuesday","Jan",4,"Male","Married",40,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,6648,13,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"Liability"
"500","Mar",2,"Sunday","BMW","Urban","Monday","Mar",2,"Male","Married",55,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,13570,5,400,2,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1996,"Liability"
"501","Jan",1,"Friday","Pontiac","Rural","Monday","Jan",2,"Male","Married",37,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,1853,3,400,2,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"502","Jun",5,"Thursday","Toyota","Urban","Wednesday","Jul",2,"Male","Married",39,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,9722,15,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"503","Jan",3,"Tuesday","Honda","Urban","Friday","Jan",5,"Male","Single",28,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,6995,13,400,1,"more than 30","more than 30","none","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"504","Dec",1,"Sunday","Mazda","Urban","Monday","Jan",4,"Male","Married",43,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,3243,16,400,4,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"505","Aug",5,"Tuesday","Honda","Urban","Thursday","Sep",1,"Female","Married",42,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,1459,7,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"506","Mar",4,"Monday","Chevrolet","Urban","Monday","Mar",4,"Male","Married",55,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,7646,12,400,1,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1995,"Collision"
"507","Jul",1,"Friday","Pontiac","Urban","Wednesday","Jul",1,"Male","Single",34,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,6824,9,400,4,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1995,"Collision"
"508","Aug",3,"Tuesday","Pontiac","Urban","Wednesday","Aug",4,"Male","Married",80,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,3740,2,400,1,"more than 30","more than 30","1","more than 7","over 65","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"509","Apr",1,"Wednesday","Pontiac","Urban","Wednesday","Apr",2,"Male","Married",59,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,3731,3,400,1,"more than 30","more than 30","none","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"510","Nov",3,"Tuesday","Honda","Urban","Tuesday","Feb",2,"Female","Married",39,"Policy Holder","Sport - Collision","Sport","more than 69000",0,15291,15,400,3,"more than 30","more than 30","2 to 4","5 years","36 to 40","No","No","External","none","no change","1 vehicle",1996,"Collision"
"511","Aug",1,"Thursday","Pontiac","Urban","Tuesday","Sep",2,"Female","Married",36,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,1371,5,400,1,"more than 30","more than 30","1","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"512","Jun",2,"Friday","Honda","Urban","Wednesday","Jun",4,"Male","Single",0,"Third Party","Sedan - All Perils","Sedan","more than 69000",0,13184,16,400,4,"more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"513","Apr",3,"Sunday","Mazda","Urban","Friday","Apr",4,"Male","Married",34,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,9272,6,400,1,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"514","Nov",2,"Friday","Honda","Urban","Monday","Nov",3,"Male","Single",0,"Third Party","Sedan - All Perils","Sedan","less than 20000",0,5830,10,400,1,"more than 30","more than 30","none","more than 7","16 to 17","Yes","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"515","Oct",1,"Thursday","VW","Urban","Wednesday","Oct",4,"Male","Married",47,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,2350,9,400,2,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"516","May",2,"Saturday","Chevrolet","Urban","Tuesday","May",3,"Male","Married",46,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,12201,16,400,3,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1996,"Liability"
"517","Apr",2,"Saturday","Toyota","Urban","Monday","Apr",2,"Female","Single",34,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,9473,9,400,3,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1995,"Collision"
"518","Dec",3,"Sunday","Pontiac","Urban","Monday","Jan",2,"Male","Married",32,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,14956,5,400,3,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1996,"Liability"
"519","Jun",2,"Friday","Chevrolet","Urban","Friday","Jun",3,"Male","Married",58,"Policy Holder","Sedan - Liability","Sport","40000 to 59000",0,11305,16,400,1,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1995,"Liability"
"520","Jul",1,"Friday","Honda","Rural","Tuesday","Jul",1,"Male","Single",0,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,10988,13,400,4,"more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle",1995,"Liability"
"521","Dec",1,"Friday","Honda","Urban","Thursday","Dec",2,"Male","Married",35,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,5738,6,400,3,"more than 30","more than 30","2 to 4","6 years","31 to 35","Yes","Yes","External","more than 5","no change","1 vehicle",1994,"Collision"
"522","Jan",1,"Thursday","Saab","Rural","Monday","Jan",4,"Male","Married",45,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,8673,14,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1995,"Liability"
"523","Jan",1,"Saturday","Pontiac","Urban","Friday","Jan",2,"Male","Married",41,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,10380,1,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"Liability"
"524","Aug",2,"Sunday","VW","Urban","Tuesday","Aug",2,"Male","Married",40,"Policy Holder","Sedan - Liability","Sport","40000 to 59000",0,8379,13,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1995,"Liability"
"525","Jun",4,"Thursday","Honda","Urban","Friday","Jun",4,"Male","Single",27,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,7323,1,400,4,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1995,"Liability"
"526","Jan",5,"Sunday","Honda","Urban","Thursday","Feb",1,"Male","Married",32,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,11441,4,400,2,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1996,"All Perils"
"527","Dec",4,"Monday","Accura","Urban","Monday","Jan",4,"Male","Married",48,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,14312,2,400,1,"more than 30","more than 30","none","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"528","Jun",1,"Monday","Pontiac","Rural","Tuesday","Jun",2,"Male","Married",30,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",1,4317,7,400,3,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"529","Mar",1,"Monday","Pontiac","Urban","Tuesday","Mar",2,"Male","Married",51,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,6190,5,400,1,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"530","Oct",1,"Wednesday","Toyota","Urban","Friday","Nov",1,"Male","Single",46,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,8870,5,400,1,"more than 30","more than 30","2 to 4","7 years","41 to 50","Yes","No","External","3 to 5","no change","1 vehicle",1995,"All Perils"
"531","Nov",3,"Tuesday","Honda","Urban","Wednesday","Nov",3,"Male","Married",62,"Third Party","Sport - Collision","Sport","more than 69000",0,9925,7,400,3,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1995,"Collision"
"532","Sep",4,"Tuesday","Pontiac","Urban","Wednesday","Oct",4,"Male","Married",66,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,14797,5,400,4,"more than 30","more than 30","1","7 years","over 65","No","No","External","none","no change","1 vehicle",1996,"Collision"
"533","Dec",3,"Friday","Pontiac","Urban","Friday","Dec",4,"Male","Single",48,"Third Party","Utility - All Perils","Utility","more than 69000",0,1403,14,400,3,"more than 30","more than 30","more than 4","7 years","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"534","Apr",1,"Friday","VW","Rural","Tuesday","Apr",1,"Male","Married",80,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,6090,4,400,3,"more than 30","more than 30","2 to 4","6 years","over 65","No","No","External","none","no change","1 vehicle",1994,"All Perils"
